country,avg_points,max_points
Italy,88.5621,100
Portugal,88.2502,100
US,88.5636,100
Spain,87.2879,98
France,88.8452,100
Germany,89.8517,98
Argentina,86.7103,97
Chile,86.4935,95
Australia,88.5805,100
Austria,90.1011,98
"South Africa",88.0529,95
"New Zealand",88.3006,95
Israel,88.4713,94
Hungary,89.1918,97
Greece,87.2833,93
Romania,86.4000,92
Mexico,85.2571,92
Canada,89.3696,94
Turkey,88.0889,92
"Czech Republic",87.2500,89
Slovenia,88.0690,92
Luxembourg,88.6667,90
Croatia,87.2192,91
Georgia,87.6860,92
Uruguay,86.7523,92
England,91.5811,95
Lebanon,87.6857,91
Serbia,87.5000,89
Brazil,84.6731,89
Moldova,87.2034,91
Morocco,88.5714,93
Peru,83.5625,86
India,90.2222,93
Bulgaria,87.9362,91
Cyprus,87.1818,89
Armenia,87.5000,88
Switzerland,88.5714,90
"Bosnia and Herzegovina",86.5000,88
Ukraine,84.0714,88
Slovakia,87.0000,87
Macedonia,86.8333,89
China,89.0000,89
Egypt,84.0000,84
